id,number_1,operator,number_2,solution
0,39,0,957,996
1,78,0,652,730
2,940,0,699,1639
3,965,0,306,1271
4,884,0,655,1539
5,227,0,138,365
6,285,0,2,287
7,852,0,424,1276
8,512,0,564,1076
9,461,0,2,463
10,409,0,157,566
11,45,0,964,1009
12,90,0,194,284
13,458,0,362,820
14,957,0,464,1421
15,605,0,270,875
16,810,0,269,1079
17,582,0,773,1355
18,36,0,640,676
19,63,0,762,825
20,68,0,5,73
21,900,0,359,1259
22,731,0,699,1430
23,52,0,58,110
24,394,0,583,977
25,132,0,96,228
26,178,0,925,1103
27,407,0,822,1229
28,524,0,676,1200
29,275,0,255,530
30,384,0,451,835
31,249,0,323,572
32,910,0,7,917
33,433,0,485,918
34,300,0,348,648
35,714,0,396,1110
36,670,0,228,898
37,872,0,426,1298
38,670,0,521,1191
39,261,0,437,698
40,194,0,210,404
41,781,0,30,811
42,246,0,808,1054
43,614,0,374,988
44,398,0,710,1108
45,834,0,571,1405
46,487,0,371,858
47,860,0,441,1301
48,77,0,866,943
49,994,0,738,1732
50,588,0,400,988
51,934,0,458,1392
52,534,0,899,1433
53,723,0,502,1225
54,32,0,678,710
55,691,0,604,1295
56,593,0,43,636
57,17,0,355,372
58,810,0,586,1396
59,765,0,842,1607
60,41,0,168,209
61,97,0,79,176
62,836,0,418,1254
63,823,0,76,899
64,785,0,903,1688
65,867,0,331,1198
66,798,0,313,1111
67,561,0,866,1427
68,10,0,460,470
69,818,0,696,1514
70,894,0,202,1096
71,587,0,728,1315
72,920,0,751,1671
73,388,0,42,430
74,760,0,335,1095
75,523,0,329,852
76,94,0,646,740
77,849,0,240,1089
78,408,0,420,828
79,554,0,564,1118
80,156,0,721,877
81,127,0,383,510
82,383,0,187,570
83,415,0,779,1194
84,9,0,310,319
85,810,0,917,1727
86,98,0,223,321
87,164,0,465,629
88,880,0,605,1485
89,71,0,452,523
90,531,0,408,939
91,59,0,580,639
92,271,0,389,660
93,312,0,555,867
94,75,0,522,597
95,132,0,830,962
96,992,0,228,1220
97,869,0,168,1037
98,665,0,448,1113
99,69,0,921,990
100,719,0,279,998
101,343,0,7,350
102,918,0,364,1282
103,448,0,747,1195
104,87,0,962,1049
105,933,0,288,1221
106,150,0,813,963
107,176,0,187,363
108,721,0,3,724
109,258,0,757,1015
110,592,0,793,1385
111,292,0,229,521
112,629,0,532,1161
113,76,0,794,870
114,155,0,783,938
115,651,0,133,784
116,412,0,650,1062
117,521,0,466,987
118,378,0,438,816
119,492,0,710,1202
120,749,0,334,1083
121,368,0,306,674
122,992,0,391,1383
123,132,0,770,902
124,704,0,376,1080
125,795,0,273,1068
126,286,0,336,622
127,487,0,508,995
128,735,0,175,910
129,925,0,20,945
130,503,0,592,1095
131,632,0,405,1037
132,494,0,814,1308
133,302,0,892,1194
134,193,0,111,304
135,51,0,405,456
136,716,0,495,1211
137,136,0,823,959
138,547,0,371,918
139,516,0,286,802
140,471,0,725,1196
141,213,0,961,1174
142,920,0,787,1707
143,397,0,217,614
144,870,0,236,1106
145,113,0,743,856
146,326,0,374,700
147,212,0,28,240
148,767,0,806,1573
149,758,0,870,1628
150,693,0,542,1235
151,630,0,845,1475
152,791,0,618,1409
153,569,0,807,1376
154,77,0,979,1056
155,995,0,365,1360
156,225,0,521,746
157,114,0,63,177
158,797,0,64,861
159,329,0,880,1209
160,962,0,844,1806
161,284,0,413,697
162,138,0,429,567
163,260,0,50,310
164,406,0,568,974
165,268,0,103,371
166,285,0,507,792
167,332,0,819,1151
168,611,0,692,1303
169,838,0,960,1798
170,366,0,445,811
171,833,0,356,1189
172,10,0,254,264
173,767,0,646,1413
174,960,0,970,1930
175,279,0,720,999
176,783,0,112,895
177,936,0,503,1439
178,797,0,804,1601
179,429,0,163,592
180,130,0,980,1110
181,667,0,187,854
182,762,0,603,1365
183,401,0,453,854
184,712,0,181,893
185,326,0,872,1198
186,865,0,26,891
187,780,0,982,1762
188,618,0,520,1138
189,184,0,940,1124
190,917,0,230,1147
191,22,0,654,676
192,418,0,68,486
193,329,0,782,1111
194,45,0,471,516
195,91,0,770,861
196,421,0,158,579
197,551,0,375,926
198,550,0,256,806
199,871,0,911,1782
200,967,0,284,1251
201,648,0,449,1097
202,132,0,962,1094
203,416,0,971,1387
204,326,0,370,696
205,40,0,405,445
206,671,0,540,1211
207,472,0,712,1184
208,755,0,774,1529
209,353,0,576,929
210,375,0,463,838
211,218,0,92,310
212,955,0,166,1121
213,8,0,291,299
214,613,0,894,1507
215,363,0,29,392
216,499,0,106,605
217,714,0,567,1281
218,632,0,818,1450
219,757,0,754,1511
220,959,0,158,1117
221,263,0,429,692
222,333,0,565,898
223,687,0,551,1238
224,202,0,231,433
225,260,0,335,595
226,733,0,171,904
227,6,0,372,378
228,287,0,68,355
229,675,0,797,1472
230,744,0,815,1559
231,848,0,247,1095
232,239,0,937,1176
233,779,0,971,1750
234,130,0,231,361
235,823,0,422,1245
236,569,0,261,830
237,705,0,673,1378
238,71,0,82,153
239,759,0,135,894
240,224,0,410,634
241,675,0,306,981
242,701,0,410,1111
243,360,0,389,749
244,639,0,118,757
245,840,0,724,1564
246,502,0,468,970
247,734,0,697,1431
248,537,0,345,882
249,210,0,973,1183
250,984,0,972,1956
251,480,0,972,1452
252,649,0,171,820
253,452,0,604,1056
254,621,0,947,1568
255,778,0,710,1488
256,819,0,140,959
257,834,0,119,953
258,392,0,380,772
259,133,0,771,904
260,681,0,21,702
261,690,0,743,1433
262,762,0,879,1641
263,520,0,567,1087
264,575,0,168,743
265,703,0,165,868
266,146,0,216,362
267,130,0,697,827
268,714,0,788,1502
269,449,0,632,1081
270,342,0,115,457
271,816,0,913,1729
272,188,0,665,853
273,700,0,47,747
274,635,0,876,1511
275,470,0,956,1426
276,7,0,97,104
277,137,0,404,541
278,355,0,889,1244
279,388,0,2,390
280,582,0,175,757
281,808,0,150,958
282,881,0,925,1806
283,911,0,575,1486
284,828,0,684,1512
285,527,0,475,1002
286,392,0,561,953
287,792,0,969,1761
288,386,0,451,837
289,973,0,129,1102
290,503,0,772,1275
291,176,0,584,760
292,122,0,245,367
293,741,0,223,964
294,400,0,520,920
295,817,0,764,1581
296,24,0,661,685
297,546,0,262,808
298,519,0,496,1015
299,300,0,306,606
300,694,0,200,894
301,888,0,703,1591
302,791,0,83,874
303,552,0,510,1062
304,353,0,813,1166
305,286,0,295,581
306,363,0,333,696
